#,Player,Country,Team,Goals (Penalty)
1,Robin van Persie,Netherlands,Arsenal FC Arsenal FC,30 (2)
2,Wayne Rooney,England,Manchester United Manchester United,27 (6)
3,Kun Agüero,Argentina,Manchester City Manchester City,23 (3)
4,Emmanuel Adebayor,Togo,Tottenham Hotspur Tottenham Hotspur,17 (3)
,Yakubu Ayegbeni,Nigeria,Blackburn Rovers Blackburn Rovers,17 (4)
,Clint Dempsey,USA,Fulham FC Fulham FC,17 (0)
7,Demba Ba,Senegal,Newcastle United Newcastle United,16 (2)
8,Grant Holt,England,Norwich City Norwich City,15 (2)
9,Edin Džeko,Bosnia-Herzegovina,Manchester City Manchester City,14 (0)
10,Mario Balotelli,Italy,Manchester City Manchester City,13 (3)
,Papiss Demba Cissé,Senegal,Newcastle United Newcastle United,13 (0)
12,Steven Fletcher,Scotland,Wolverhampton Wanderers Wolverhampton Wanderers,12 (0)
,Danny Graham,England,Swansea City Swansea City,12 (1)
14,Jermain Defoe,England,Tottenham Hotspur Tottenham Hotspur,11 (0)
,Frank Lampard,England,Chelsea FC Chelsea FC,11 (3)
,Daniel Sturridge,England,Chelsea FC Chelsea FC,11 (0)
,Luis Suárez,Uruguay,Liverpool FC Liverpool FC,11 (0)
,Rafael van der Vaart,Netherlands,Tottenham Hotspur Tottenham Hotspur,11 (1)
19,Gareth Bale,Wales,Tottenham Hotspur Tottenham Hotspur,10 (0)
,Peter Crouch,England,Stoke City Stoke City,10 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Javier Hernández,Mexico,Manchester United Manchester United,10 (1)
,Peter Odemwingie,Nigeria,West Bromwich Albion West Bromwich Albion,10 (0)
23,Darren Bent,England,Aston Villa Aston Villa,9 (2)
,Nikica Jelavić,Croatia,Everton FC Everton FC,9 (1)
,Steve Morison,Wales,Norwich City Norwich City,9 (0)
,Danny Welbeck,England,Manchester United Manchester United,9 (0)
27,Nicklas Bendtner,Denmark,Arsenal FC Arsenal FC,8 (1)
,,,Sunderland AFC Sunderland AFC,
,Heiðar Helguson,Iceland,Queens Park Rangers Queens Park Rangers,8 (2)
,Matthew Jarvis,England,Wolverhampton Wanderers Wolverhampton Wanderers,8 (0)
,Ivan Klasnić,Croatia,Bolton Wanderers Bolton Wanderers,8 (1)
,Shane Long,Ireland,West Bromwich Albion West Bromwich Albion,8 (1)
,Nani,Portugal,Manchester United Manchester United,8 (0)
,Anthony Pilkington,Ireland,Norwich City Norwich City,8 (0)
,Scott Sinclair,England,Swansea City Swansea City,8 (4)
,Theo Walcott,England,Arsenal FC Arsenal FC,8 (0)
36,Dimitar Berbatov,Bulgaria,Manchester United Manchester United,7 (2)
,Franco Di Santo,Argentina,Wigan Athletic Wigan Athletic,7 (0)
,Junior Hoilett,Canada,Blackburn Rovers Blackburn Rovers,7 (0)
,Sebastian Larsson,Sweden,Sunderland AFC Sunderland AFC,7 (0)
,Jamie Mackie,Scotland,Queens Park Rangers Queens Park Rangers,7 (0)
,Mikel Arteta,Spain,Arsenal FC Arsenal FC,7 (1)
,,,Everton FC Everton FC,
,Stéphane Sessègnon,Benin,Sunderland AFC Sunderland AFC,7 (0)
,Gylfi Sigurðsson,Iceland,Swansea City Swansea City,7 (0)
,Jon Walters,Ireland,Stoke City Stoke City,7 (4)
,Bobby Zamora,England,Fulham FC Fulham FC,7 (1)
,,,Queens Park Rangers Queens Park Rangers,
46,Craig Bellamy,Wales,Liverpool FC Liverpool FC,6 (0)
,Djibril Cissé,France,Queens Park Rangers Queens Park Rangers,6 (0)
,David Silva,Spain,Manchester City Manchester City,6 (0)
,Kevin Davies,England,Bolton Wanderers Bolton Wanderers,6 (1)
,Fernando Torres,Spain,Chelsea FC Chelsea FC,6 (0)
,Adam Johnson,England,Manchester City Manchester City,6 (0)
,Mata,Spain,Chelsea FC Chelsea FC,6 (0)
,Victor Moses,Nigeria,Wigan Athletic Wigan Athletic,6 (0)
,Pavel Pogrebnyak,Russia,Fulham FC Fulham FC,6 (0)
,John Terry,England,Chelsea FC Chelsea FC,6 (0)
,Yaya Touré,Ivory Coast,Manchester City Manchester City,6 (0)
,Thomas Vermaelen,Belgium,Arsenal FC Arsenal FC,6 (0)
,Ashley Young,England,Manchester United Manchester United,6 (0)
59,Gabriel Agbonlahor,England,Aston Villa Aston Villa,5 (0)
,Victor Anichebe,Nigeria,Everton FC Everton FC,5 (0)
,Hatem Ben Arfa,France,Newcastle United Newcastle United,5 (0)
,Didier Drogba,Ivory Coast,Chelsea FC Chelsea FC,5 (1)
,Nathan Dyer,England,Swansea City Swansea City,5 (0)
,Steven Gerrard,England,Liverpool FC Liverpool FC,5 (0)
,Jordi Gómez,Spain,Wigan Athletic Wigan Athletic,5 (2)
,James McClean,Ireland,Sunderland AFC Sunderland AFC,5 (0)
,James Morrison,Scotland,West Bromwich Albion West Bromwich Albion,5 (0)
,Samir Nasri,France,Arsenal FC Arsenal FC,5 (0)
,,,Manchester City Manchester City,
,Ramires,Brazil,Chelsea FC Chelsea FC,5 (0)
70,Joe Allen,Wales,Swansea City Swansea City,4 (0)
,Leighton Baines,England,Everton FC Everton FC,4 (3)
,Yossi Benayoun,Israel,Arsenal FC Arsenal FC,4 (0)
,,,Chelsea FC Chelsea FC,
,Leon Best,Ireland,Newcastle United Newcastle United,4 (0)
,Yohan Cabaye,France,Newcastle United Newcastle United,4 (0)
,Andy Carroll,England,Liverpool FC Liverpool FC,4 (0)
,Mark Davies,England,Bolton Wanderers Bolton Wanderers,4 (0)
,Kevin Doyle,Ireland,Wolverhampton Wanderers Wolverhampton Wanderers,4 (0)
,Chris Eagles,England,Bolton Wanderers Bolton Wanderers,4 (0)
,Mauro Fórmica,Argentina,Blackburn Rovers Blackburn Rovers,4 (0)
,Gervinho,Ivory Coast,Arsenal FC Arsenal FC,4 (0)
,Wes Hoolahan,Ireland,Norwich City Norwich City,4 (0)
,Cameron Jerome,England,Stoke City Stoke City,4 (0)
,Luka Modrić,Croatia,Tottenham Hotspur Tottenham Hotspur,4 (0)
,Leon Osman,England,Everton FC Everton FC,4 (0)
,Martin Petrov,Bulgaria,Bolton Wanderers Bolton Wanderers,4 (4)
,Stilian Petrov,Bulgaria,Aston Villa Aston Villa,4 (0)
,Steven Pienaar,South Africa,Everton FC Everton FC,4 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Nigel Reo-Coker,England,Bolton Wanderers Bolton Wanderers,4 (0)
,Maxi Rodríguez,Argentina,Liverpool FC Liverpool FC,4 (0)
