,Player,Country,Team,Goals (Penalty),Season,Rank,Penalty,Goals
0,Didier Drogba,Ivory Coast,Chelsea FC,29 (1),2009,1,(1),29
1,Wayne Rooney,England,Manchester United,26 (4),2009,2,(4),26
2,Darren Bent,England,Sunderland AFC,24 (5),2009,3,(5),24
3,Carlos Tévez,Argentina,Manchester City,23 (5),2009,4,(5),23
4,Frank Lampard,England,Chelsea FC,22 (10),2009,5,(10),22
5,Jermain Defoe,England,Tottenham Hotspur,18 (1),2009,6,(1),18
6,Fernando Torres,Spain,Liverpool FC,18 (0),2009,7,(0),18
7,Cesc Fàbregas,Spain,Arsenal FC,15 (3),2009,8,(3),15
8,Emmanuel Adebayor,Togo,Manchester City,14 (0),2009,9,(0),14
9,Gabriel Agbonlahor,England,Aston Villa,13 (0),2009,10,(0),13
10,Louis Saha,France,Everton FC,13 (2),2009,11,(2),13
11,Dimitar Berbatov,Bulgaria,Manchester United,12 (0),2009,12,(0),12
12,Florent Malouda,French Guyana,Chelsea FC,12 (0),2009,13,(0),12
13,Nicolas Anelka,France,Chelsea FC,11 (0),2009,14,(0),11
14,Andrey Arshavin,Russia,Arsenal FC,10 (0),2009,15,(0),10
15,Craig Bellamy,Wales,Manchester City,10 (0),2009,16,(0),10
16,John Carew,Norway,Aston Villa,10 (1),2009,17,(1),10
17,Carlton Cole,England,West Ham United,10 (1),2009,18,(1),10
18,Cameron Jerome,England,Birmingham City,10 (0),2009,19,(0),10
19,Hugo Rodallega,Colombia,Wigan Athletic,10 (1),2009,20,(1),10
0,Dimitar Berbatov,Bulgaria,Chelsea FC,21 (0),2010,1,(1),29
1,Carlos Tévez,Argentina,Manchester United,21 (5),2010,2,(4),26
2,Robin van Persie,Netherlands,Sunderland AFC,18 (2),2010,3,(5),24
3,Darren Bent,England,Manchester City,17 (3),2010,4,(5),23
4,Peter Odemwingie,Nigeria,Chelsea FC,15 (2),2010,5,(10),22
5,DJ Campbell,England,Tottenham Hotspur,13 (0),2010,6,(1),18
6,Andy Carroll,England,Liverpool FC,13 (0),2010,7,(0),18
7,Javier Hernández,Mexico,Arsenal FC,13 (0),2010,8,(3),15
8,Dirk Kuyt,Netherlands,Manchester City,13 (5),2010,9,(0),14
9,Florent Malouda,French Guyana,Aston Villa,13 (0),2010,10,(0),13
10,Rafael van der Vaart,Netherlands,Everton FC,13 (4),2010,11,(2),13
11,Charlie Adam,Scotland,Manchester United,12 (7),2010,12,(0),12
12,Clint Dempsey,USA,Chelsea FC,12 (1),2010,13,(0),12
13,Didier Drogba,Ivory Coast,Chelsea FC,12 (2),2010,14,(0),11
14,Kevin Nolan,England,Arsenal FC,12 (1),2010,15,(0),10
15,Wayne Rooney,England,Manchester City,11 (3),2010,16,(0),10
16,Johan Elmander,Sweden,Aston Villa,10 (0),2010,17,(1),10
17,Fernando Torres,Spain,West Ham United,10 (0),2010,18,(1),10
0,Robin van Persie,Netherlands,Chelsea FC,30 (2),2011,1,(1),29
1,Wayne Rooney,England,Manchester United,27 (6),2011,2,(4),26
2,Kun Agüero,Argentina,Sunderland AFC,23 (3),2011,3,(5),24
3,Emmanuel Adebayor,Togo,Manchester City,17 (3),2011,4,(5),23
4,Yakubu Ayegbeni,Nigeria,Chelsea FC,17 (4),2011,5,(10),22
5,Clint Dempsey,USA,Tottenham Hotspur,17 (0),2011,6,(1),18
6,Demba Ba,Senegal,Liverpool FC,16 (2),2011,7,(0),18
7,Grant Holt,England,Arsenal FC,15 (2),2011,8,(3),15
8,Edin Džeko,Bosnia-Herzegovina,Manchester City,14 (0),2011,9,(0),14
9,Mario Balotelli,Italy,Aston Villa,13 (3),2011,10,(0),13
10,Papiss Demba Cissé,Senegal,Everton FC,13 (0),2011,11,(2),13
11,Steven Fletcher,Scotland,Manchester United,12 (0),2011,12,(0),12
12,Danny Graham,England,Chelsea FC,12 (1),2011,13,(0),12
13,Jermain Defoe,England,Chelsea FC,11 (0),2011,14,(0),11
14,Frank Lampard,England,Arsenal FC,11 (3),2011,15,(0),10
15,Daniel Sturridge,England,Manchester City,11 (0),2011,16,(0),10
16,Luis Suárez,Uruguay,Aston Villa,11 (0),2011,17,(1),10
17,Rafael van der Vaart,Netherlands,West Ham United,11 (1),2011,18,(1),10
18,Gareth Bale,Wales,Birmingham City,10 (0),2011,19,(0),10
19,Peter Crouch,England,Wigan Athletic,10 (0),2011,20,(1),10
0,Robin van Persie,Netherlands,Chelsea FC,26 (3),2012,1,(1),29
1,Luis Suárez,Uruguay,Manchester United,23 (0),2012,2,(4),26
2,Gareth Bale,Wales,Sunderland AFC,21 (0),2012,3,(5),24
3,Christian Benteke,Belgium,Manchester City,19 (3),2012,4,(5),23
4,Michu,Spain,Chelsea FC,18 (0),2012,5,(10),22
5,Romelu Lukaku,Belgium,Tottenham Hotspur,17 (2),2012,6,(1),18
6,Demba Ba,Senegal,Liverpool FC,15 (1),2012,7,(0),18
7,Dimitar Berbatov,Bulgaria,Arsenal FC,15 (4),2012,8,(3),15
8,Rickie Lambert,England,Manchester City,15 (3),2012,9,(0),14
9,Frank Lampard,England,Aston Villa,15 (5),2012,10,(0),13
10,Edin Džeko,Bosnia-Herzegovina,Everton FC,14 (0),2012,11,(2),13
11,Theo Walcott,England,Manchester United,14 (0),2012,12,(0),12
12,Kun Agüero,Argentina,Chelsea FC,12 (2),2012,13,(0),12
13,Adam Le Fondre,England,Chelsea FC,12 (3),2012,14,(0),11
14,Wayne Rooney,England,Arsenal FC,12 (1),2012,15,(0),10
15,Santi Cazorla,Spain,Manchester City,12 (0),2012,16,(0),10
